,g,C,ERR
0,0.15,1800,0.15714285714285708
1,0.49,200,0.1571428571428571
2,0.21,600,0.1571428571428571
3,0.19,800,0.1571428571428571
4,0.18,1800,0.1571428571428571
5,0.06,6400,0.1571428571428571
6,0.35,7000,0.1571428571428571
7,0.75,8800,0.1571428571428571
8,0.05,10600,0.1571428571428571
9,0.06,10600,0.1571428571428571
10,0.03,18600,0.1571428571428571
11,0.04,22800,0.1571428571428571
12,0.05,13200,0.15714285714285714
13,0.33,200,0.1714285714285714
14,0.43,200,0.1714285714285714
15,0.46,200,0.1714285714285714
16,0.53,200,0.1714285714285714
17,0.56,200,0.1714285714285714
18,0.18,400,0.1714285714285714
19,0.28,400,0.1714285714285714
20,0.3,400,0.1714285714285714
21,0.26,600,0.1714285714285714
22,0.27,600,0.1714285714285714
23,0.16,800,0.1714285714285714
24,0.2,800,0.1714285714285714
25,0.22,800,0.1714285714285714
26,0.93,800,0.1714285714285714
27,0.24,1000,0.1714285714285714
28,1.22,1000,0.1714285714285714
29,1.26,1000,0.1714285714285714
30,0.18,1200,0.1714285714285714
31,0.16,1400,0.1714285714285714
32,0.08,1600,0.1714285714285714
33,0.14,1800,0.1714285714285714
34,0.19,1800,0.1714285714285714
35,0.19,2000,0.1714285714285714
36,0.21,2000,0.1714285714285714
37,0.12,2200,0.1714285714285714
38,0.13,2200,0.1714285714285714
39,0.17,2200,0.1714285714285714
40,1.24,2600,0.1714285714285714
41,0.14,2800,0.1714285714285714
42,0.12,3200,0.1714285714285714
43,0.16,3200,0.1714285714285714
44,0.1,3400,0.1714285714285714
45,1.33,3600,0.1714285714285714
46,0.06,3800,0.1714285714285714
47,0.1,3800,0.1714285714285714
48,0.06,4000,0.1714285714285714
49,0.15,4000,0.1714285714285714
50,0.1,4200,0.1714285714285714
51,0.23,4200,0.1714285714285714
52,0.09,4800,0.1714285714285714
53,0.11,5000,0.1714285714285714
54,1.22,5000,0.1714285714285714
55,0.06,5200,0.1714285714285714
56,0.08,5600,0.1714285714285714
57,0.07,5800,0.1714285714285714
58,0.08,6200,0.1714285714285714
59,0.82,6200,0.1714285714285714
60,0.09,6400,0.1714285714285714
61,0.1,6800,0.1714285714285714
62,0.52,6800,0.1714285714285714
63,0.59,6800,0.1714285714285714
64,0.07,7000,0.1714285714285714
65,0.56,7000,0.1714285714285714
66,0.07,7600,0.1714285714285714
67,0.97,8400,0.1714285714285714
68,1.42,8800,0.1714285714285714
69,0.07,9000,0.1714285714285714
70,0.05,9200,0.1714285714285714
71,0.06,9200,0.1714285714285714
72,0.69,9200,0.1714285714285714
73,1.33,9600,0.1714285714285714
74,0.11,9800,0.1714285714285714
75,0.08,10000,0.1714285714285714
76,0.03,10400,0.1714285714285714
77,0.06,10800,0.1714285714285714
78,0.91,11200,0.1714285714285714
79,0.05,12400,0.1714285714285714
80,0.54,12800,0.1714285714285714
81,0.05,13400,0.1714285714285714
82,0.63,13600,0.1714285714285714
83,0.04,13800,0.1714285714285714
84,0.32,14000,0.1714285714285714
85,0.34,14400,0.1714285714285714
86,0.06,14600,0.1714285714285714
87,0.04,14800,0.1714285714285714
88,1.03,15200,0.1714285714285714
89,0.04,16200,0.1714285714285714
90,0.05,16200,0.1714285714285714
91,0.04,16400,0.1714285714285714
92,0.05,16400,0.1714285714285714
93,0.9,16600,0.1714285714285714
94,1.06,17000,0.1714285714285714
95,0.04,17800,0.1714285714285714
96,0.04,19200,0.1714285714285714
97,0.08,19200,0.1714285714285714
98,0.05,19400,0.1714285714285714
99,0.05,19600,0.1714285714285714
100,0.05,19800,0.1714285714285714
101,0.46,19800,0.1714285714285714
102,0.59,20000,0.1714285714285714
103,0.05,20400,0.1714285714285714
104,1.01,20800,0.1714285714285714
105,0.05,21000,0.1714285714285714
106,0.05,21200,0.1714285714285714
107,0.99,21200,0.1714285714285714
108,0.5,22000,0.1714285714285714
109,0.72,22000,0.1714285714285714
110,0.87,22400,0.1714285714285714
111,0.05,22600,0.1714285714285714
112,0.98,22600,0.1714285714285714
113,0.92,23200,0.1714285714285714
114,0.11,23400,0.1714285714285714
115,0.47,23400,0.1714285714285714
116,0.05,24000,0.1714285714285714
117,0.33,24200,0.1714285714285714
118,0.05,24400,0.1714285714285714
119,0.04,24600,0.1714285714285714
120,0.27,400,0.17142857142857143
121,0.18,1000,0.17142857142857143
122,0.21,1200,0.17142857142857143
123,0.15,1400,0.17142857142857143
124,1.19,1800,0.17142857142857143
125,0.14,2400,0.17142857142857143
126,0.27,2400,0.17142857142857143
127,0.15,2600,0.17142857142857143
