,g,C,ERR
0,0.25,12200,0.17142857142857143
1,0.26,4800,0.18571428571428567
2,0.23,19000,0.18571428571428567
3,0.41,14400,0.1857142857142857
4,0.12,18800,0.1857142857142857
5,1.22,200,0.19999999999999996
6,1.35,200,0.19999999999999996
7,0.55,1200,0.19999999999999996
8,0.74,1400,0.19999999999999996
9,1.03,1400,0.19999999999999996
10,0.58,1600,0.19999999999999996
11,0.41,2000,0.19999999999999996
12,1.09,2400,0.19999999999999996
13,0.37,2800,0.19999999999999996
14,0.26,4400,0.19999999999999996
15,0.7,4400,0.19999999999999996
16,0.26,5000,0.19999999999999996
17,0.2,5200,0.19999999999999996
18,0.32,5400,0.19999999999999996
19,0.27,7000,0.19999999999999996
20,0.51,8200,0.19999999999999996
21,0.51,8400,0.19999999999999996
22,0.21,8600,0.19999999999999996
23,0.19,9000,0.19999999999999996
24,0.18,9600,0.19999999999999996
25,0.14,12600,0.19999999999999996
26,0.21,12600,0.19999999999999996
27,0.33,13800,0.19999999999999996
28,0.56,14600,0.19999999999999996
29,1.37,14600,0.19999999999999996
30,0.27,14800,0.19999999999999996
31,0.2,15800,0.19999999999999996
32,0.18,16200,0.19999999999999996
33,0.14,16400,0.19999999999999996
34,1.22,16400,0.19999999999999996
35,0.16,16600,0.19999999999999996
36,0.22,18400,0.19999999999999996
37,0.19,21000,0.19999999999999996
38,0.21,23600,0.19999999999999996
39,0.11,23800,0.19999999999999996
40,0.13,24000,0.19999999999999996
41,1.14,24000,0.19999999999999996
42,1.2,200,0.19999999999999998
43,0.54,1800,0.19999999999999998
44,0.21,2600,0.19999999999999998
45,0.44,3200,0.19999999999999998
46,0.23,4400,0.19999999999999998
47,0.44,5200,0.19999999999999998
48,0.24,5400,0.19999999999999998
49,0.17,6400,0.19999999999999998
50,0.23,6400,0.19999999999999998
51,0.21,6800,0.19999999999999998
52,0.24,7600,0.19999999999999998
53,0.19,8000,0.19999999999999998
54,0.24,9600,0.19999999999999998
55,0.2,9800,0.19999999999999998
56,0.29,10200,0.19999999999999998
57,0.3,10400,0.19999999999999998
58,0.17,10600,0.19999999999999998
59,0.29,11000,0.19999999999999998
60,0.29,16800,0.19999999999999998
61,0.23,18800,0.19999999999999998
62,0.45,20600,0.19999999999999998
