,water,oil,surf
0,0.26,0.1,0.64
1,0.27,0.1,0.63
2,0.27,0.11,0.62
3,0.27,0.12,0.61
4,0.27,0.13,0.6
5,0.27,0.14,0.59
6,0.27,0.15,0.58
7,0.27,0.16,0.57
8,0.27,0.17,0.56
9,0.27,0.18,0.55
10,0.27,0.19,0.54
11,0.27,0.2,0.53
12,0.27,0.21,0.52
13,0.27,0.22,0.51
14,0.27,0.23,0.5
15,0.27,0.24,0.49
16,0.27,0.25,0.48
17,0.27,0.26,0.47
18,0.27,0.27,0.46
19,0.28,0.09,0.63
20,0.28,0.1,0.62
21,0.28,0.11,0.61
22,0.28,0.12,0.6
23,0.28,0.13,0.59
24,0.28,0.14,0.58
25,0.28,0.15,0.57
26,0.28,0.16,0.56
27,0.28,0.17,0.55
28,0.28,0.18,0.54
29,0.28,0.19,0.53
30,0.28,0.2,0.52
31,0.28,0.21,0.51
32,0.28,0.22,0.5
33,0.28,0.23,0.49
34,0.28,0.24,0.48
35,0.28,0.25,0.47
36,0.28,0.26,0.46
37,0.28,0.27,0.45
38,0.29,0.08,0.63
39,0.29,0.09,0.62
40,0.29,0.1,0.61
41,0.29,0.11,0.6
42,0.29,0.12,0.59
43,0.29,0.13,0.58
44,0.29,0.14,0.57
45,0.29,0.15,0.56
46,0.29,0.16,0.55
47,0.29,0.17,0.54
48,0.29,0.18,0.53
49,0.29,0.19,0.52
50,0.29,0.2,0.51
51,0.29,0.21,0.5
52,0.29,0.22,0.49
53,0.29,0.23,0.48
54,0.29,0.24,0.47
55,0.29,0.25,0.46
56,0.29,0.26,0.45
57,0.29,0.43,0.28
58,0.29,0.44,0.27
59,0.29,0.45,0.26
60,0.3,0.07,0.63
61,0.3,0.08,0.62
62,0.3,0.09,0.61
63,0.3,0.1,0.6
64,0.3,0.11,0.59
65,0.3,0.12,0.58
66,0.3,0.13,0.57
67,0.3,0.14,0.56
68,0.3,0.15,0.55
69,0.3,0.16,0.54
70,0.3,0.17,0.53
71,0.3,0.18,0.52
72,0.3,0.19,0.51
73,0.3,0.2,0.5
74,0.3,0.21,0.49
75,0.3,0.22,0.48
76,0.3,0.23,0.47
77,0.3,0.24,0.46
78,0.3,0.25,0.45
79,0.3,0.4,0.3
80,0.3,0.41,0.29
81,0.3,0.42,0.28
82,0.3,0.43,0.27
83,0.3,0.44,0.26
84,0.31,0.06,0.63
85,0.31,0.07,0.62
86,0.31,0.08,0.61
87,0.31,0.09,0.6
88,0.31,0.1,0.59
89,0.31,0.11,0.58
90,0.31,0.12,0.57
